..\imagens_para_conversao\CarroV6: .word 16, 16
.byte 199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,55,55,92,92,92,92,55,55,55,199,83,92,199,
199,199,76,76,76,76,76,76,76,76,76,76,255,83,92,199,
199,76,76,76,76,76,76,76,76,0,76,76,92,83,92,199,
76,76,183,76,0,0,76,76,0,0,76,76,199,83,92,199,
76,76,76,76,0,0,76,76,0,0,76,76,199,83,92,199,
188,188,76,76,0,0,76,76,0,0,76,76,199,83,92,92,
188,188,188,255,76,0,255,255,255,0,76,76,199,83,92,199,
92,188,14,188,76,76,76,76,76,76,255,76,255,83,92,199,
199,92,188,188,188,76,76,76,76,76,76,76,92,83,92,199,
199,199,92,55,55,92,92,92,92,55,55,55,92,92,92,199,
199,199,199,92,92,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,


